,Class Number,Course Number,Subjects,Course Title,Time and Location,Enrollment,Instructor(s),View Books
0,3196,AAAS      5A      1,African and African American Studies,Introduction to African and African American Studies,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        45 / 999 / 0,"Ray, Carina E;  Williams, Chad",View Books
1,3614,AAAS      98A      1,African and African American Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Williams, Chad",View Books
2,3610,AAAS      98A      2,African and African American Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Smith, Faith Lois",View Books
3,3612,AAAS      98A      3,African and African American Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Nyangoni, Wellington",View Books
4,3616,AAAS      98A      4,African and African American Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Abdur-Rahman, Aliyyah",View Books
5,3676,AAAS      99D      1,African and African American Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Smith, Faith Lois",View Books
6,3678,AAAS      99D      2,African and African American Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Nyangoni, Wellington",View Books
7,3680,AAAS      99D      3,African and African American Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Johnson, Jasmine",View Books
8,3682,AAAS      99D      4,African and African American Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Abdur-Rahman, Aliyyah",View Books
9,3684,AAAS      99D      5,African and African American Studies,Senior Research,TBD,Open    Consent Req.    2 / 999 / 0,"Williams, Chad",View Books
10,6472,AAAS      99D      6,African and African American Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Childs, Gregory",View Books
11,10942,AAAS      99D      7,African and African American Studies,Senior Research,TBD,Open    Consent Req.    1 / 999 / 0,"Wallace, Derron",View Books
12,10952,AAAS      99D      8,African and African American Studies,Senior Research,TBD,Open    Consent Req.    1 / 999 / 0,"Ray, Carina E",View Books
13,10985,AAAS      99D      9,African and African American Studies,Senior Research,TBD,Open    Consent Req.    2 / 999 / 0,"Roach, Shoniqua",View Books
